,name,image,price,color
0,SASSAFRAS Striped Side Slit Cut-Out Detail Sheath Midi Dress,http://assets.myntassets.com/assets/images/22455778/2023/3/21/b192ed3c-25b0-4a8b-9de2-8a78a03be3051679415604333Dresses1.jpg,899,Blue
1,Athena Burgundy Scuba Formal Sheath Dress,http://assets.myntassets.com/assets/images/20437958/2022/10/18/9ec1461d-3fd9-462b-9075-a663b4d0e0aa1666031649359AthenaBurgundyV-neckpuffsleeveformaldresswithbackslit1.jpg,974,Burgundy
2,Berrylush Satin Ruched Bodycon Dress,http://assets.myntassets.com/assets/images/24332108/2023/8/3/7afc131f-c0a8-483b-9a6a-e9237a93ecc61691076054202BerrylushWomenBrownRuchedDrawstringKnotSatinDress5.jpg,927,Brown
3,CLAFOUTIS Shoulder Straps Bodycon Maxi Dress,http://assets.myntassets.com/assets/images/26281122/2023/12/6/c23b71eb-631d-47d7-aae1-56d6009a19331701873948659CLAFOUTISRedCrepeA-LineMaxiDress1.jpg,999,Red
4,Mast & Harbour Blue & Pink Floral A-Line Midi Dress,http://assets.myntassets.com/assets/images/17189122/2022/5/27/434a9f78-f09d-4c4f-9d21-b8ee29a1f7851653632307295-Mast--Harbour-Women-Dresses-9791653632306855-5.jpg,747,Blue
5,SASSAFRAS Women White Solid Bell Sleeves A-Line Dress,http://assets.myntassets.com/assets/images/17240072/2022/3/29/e8c455f4-01a6-4df2-923b-b0acf7787a281648547478606-SASSAFRAS-Women-White-Solid-Bell-Sleeves-A-Line-Dress-598164-1.jpg,664,White
6,aayu Georgette A-Line Midi Dress,http://assets.myntassets.com/assets/images/22493142/2023/3/24/8ac37e93-e199-434b-89e4-44083c9890d31679603749334Dresses1.jpg,615,Black
7,ASPORA Women Black & Red Floral Fit And Flare Maxi Dress,http://assets.myntassets.com/assets/images/20764346/2022/11/15/0685420e-44de-4b79-a8b9-36961a8e51921668531091031WomensGeorgettePrintedGown1.jpg,1385,Black
8,Roadster Bright Serene Blue Fascination Infatuation Cable Knit Sweater Dress,http://assets.myntassets.com/assets/images/23560166/2023/11/28/432c71b5-36b6-43cc-a872-e985e894d9731701154474459-Roadster-Women-Dresses-5701701154474098-1.jpg,1324,Blue
9,SASSAFRAS Black Ribbed A-Line Midi Dress,http://assets.myntassets.com/assets/images/16044034/2021/11/23/90f5e7c7-3865-4597-8444-810aaf2eb6921637652390763-SASSAFRAS-Women-Dresses-8131637652390107-1.jpg,659,Black
10,ELYRAA Round Neck Long Sleeve Bodycon Dress,http://assets.myntassets.com/assets/images/24470288/2023/8/12/b873f9a0-be6e-4e72-96c5-ea2ce371a0211691833699325ELYRAABlackCrepeBodyconDress1.jpg,879,Black
11,SASSAFRAS Off-White & Brown Leopard Printed A-Line Dress With Belt,http://assets.myntassets.com/assets/images/11866264/2020/6/14/3465724f-7c15-478c-9d84-ebcfe2d1d2141592138612615-SASSAFRAS-Women-Dresses-1091592138610852-1.jpg,721,Off White
12,Athena Burgundy Off-Shoulder Pleated Fit & Flare Dress,http://assets.myntassets.com/assets/images/8833915/2019/2/26/1514f771-9b9d-499a-a183-3bb5157c10b21551183053367-Athena-Women-Burgundy-Solid-Off-Shoulder-Fit--Flare-Dress-87-1.jpg,819,Burgundy
13,LVOVA Floral Printed Mandarin Collar Cotton Tiered Fit & Flare Dress,http://assets.myntassets.com/assets/images/26193800/2023/12/2/492e0b93-4904-4a40-9bb0-7d12caae5f531701503437295LVOVAMaroonFloralPrintFitFlareDress1.jpg,789,Maroon
14,Tokyo Talkies Women Maroon Maxi Dress,http://assets.myntassets.com/assets/images/16723146/2023/9/20/45bf4f7b-afd5-4443-9f67-f82c732390401695203066061TokyoTalkiesWomenMaroonMaxiDress1.jpg,615,Maroon
15,SASSAFRAS Maroon Tiered Maxi Dress,http://assets.myntassets.com/assets/images/11364418/2020/1/28/8e31363f-8ac5-4669-9aa8-114d502d7be61580207577109-SASSAFRAS-Women-Maroon-Solid-Tiered-Maxi-Dress-3781580207574-1.jpg,725,Maroon
16,Bonkers Corner Shoulder Straps Maxi Dress,http://assets.myntassets.com/assets/images/23911604/2023/7/6/148d3918-bc17-4e48-b2f9-732d10b4fff21688664508228BonkersCornerRedBodyconDress1.jpg,1348,Red
17,Roadster Women Peaceful Off White Self Design Jumper Dress,http://assets.myntassets.com/assets/images/14331062/2023/10/19/fd7d2bff-d4ba-45e9-a026-9a13e14100801697694824362-Roadster-Women-Peaceful-Off-White-Self-Design-Jumper-Dress-9-1.jpg,1121,Off White
18,SASSAFRAS Black & Pink Floral Waist Cut-Out Maxi Dress,http://assets.myntassets.com/assets/images/17787876/2022/4/19/a8f2b55c-cbc0-4455-b178-3976baa48e001650366151905SASSAFRASBlackPinkFloralWaistCut-OutMaxiDress1.jpg,1049,Black
19,Athena Burgundy Sheath Dress,http://assets.myntassets.com/assets/images/productimage/2020/11/30/c8951de9-70de-409f-8ef8-a9d7a2e3b58d1606737960857-1.jpg,819,Burgundy
20,Antheaa Pink Shirt Collar Cuff Sleeves Pleated Sheath Midi Dress,http://assets.myntassets.com/assets/images/24111980/2023/7/20/2a2bf9f0-cebd-4634-9868-1fbf5add113d1689831593968AntheaaPinkMidiDress1.jpg,1249,Pink
21,Chemistry Women Pink Self Design Jumper Dress,http://assets.myntassets.com/assets/images/11775536/2020/10/20/138c4dd6-d968-4c45-bc2f-b18f1aef42dd1603171196413-Chemistry-Women-Dresses-6401603171194066-1.jpg,1478,Pink
22,DressBerry Pink Floral Printed Puff Sleeves Square Neck Maxi Dress,http://assets.myntassets.com/assets/images/24000348/2023/7/21/2870d25d-fcd8-42c1-a334-f8f92e580fb31689938455915-DressBerry-Pink-Floral-Printed-Puff-Sleeves-Square-Neck-Maxi-3.jpg,899,Pink
23,SASSAFRAS Women Stylish Floral Ruffled Wrap Dress,http://assets.myntassets.com/assets/images/16707720/2023/5/22/9d2fdee1-78b2-4eab-bd4e-9b95484c17421684736635329SASSAFRASWomenStylishMustardFloralRuffledDress1.jpg,911,Mustard
24,SASSAFRAS worklyf Shoulder Straps Bodycon Dress With Shrug,http://assets.myntassets.com/assets/images/22853166/2023/4/21/65d1eec8-4b92-400d-bc4b-6a60a29d053c1682095451986Dresses1.jpg,935,Black
25,all about you Rust Orange Pure Cotton Romance Ramble Lace stories Fit & Flare Dress,http://assets.myntassets.com/assets/images/21047836/2023/8/25/5b5a72ec-b4d9-4ecc-a5b0-c7ffb84656cc1692936862478-all-about-you-Women-Dresses-6371692936862117-1.jpg,1324,Rust
26,The Roadster Lifestyle Co. Cable Knit Jumper Mini Dress,http://assets.myntassets.com/assets/images/18240168/2023/9/13/84d57d80-518e-4d1a-a6ae-ce7ca52f73551694595876259TheRoadsterLifestyleCoCableKnitJumperMiniDress1.jpg,1469,Burgundy
27,SASSAFRAS Black Ribbed Formal Sheath Dress,http://assets.myntassets.com/assets/images/16043948/2021/11/23/68089a8b-21e7-4f72-89f8-00b9d1be07581637651539240JacketsSASSAFRASWomenTopsSASSAFRASWomenTopsSASSAFRASWomenDre1.jpg,679,Black
28,Tulsattva Off White Midi Dress,http://assets.myntassets.com/assets/images/19628870/2022/8/24/520cf7bb-1578-484c-944a-1ec9d2f4d1991661282657161Dresses1.jpg,1054,Off White
29,Tokyo Talkies Women Stylish Black Self-Design Dress,http://assets.myntassets.com/assets/images/17143228/2023/9/19/a26af2d2-0ae3-422a-90ce-a4199303b8031695120026785TokyoTalkiesWomenStylishBlackSelf-DesignDress1.jpg,565,Black
30,Antheaa Green & Pink Chiffon Geometric Print Tiered Dress,http://assets.myntassets.com/assets/images/19078094/2022/8/4/fa00e1bc-7c70-4235-b4e3-fe658911c9d91659611791922-Antheaa-Women-Dresses-1131659611791243-1.jpg,1268,Green
31,SASSAFRAS BASICS Rib Square Neck Bodycon Dress,http://assets.myntassets.com/assets/images/22076782/2023/2/22/a637ebf7-f4ae-40ce-aeb3-5966758374c31677007241998Dresses7.jpg,639,Black
32,WISSTLER Black & Pink Floral Puff Sleeves Georgette Midi Dress,http://assets.myntassets.com/assets/images/18091474/2022/5/16/f6fc6e57-11f9-48d2-8eaf-face7e87a3c51652703120035VividArtsyWomenBlackWhitePolkaDotsPrintedRelaxedCasualShirtD1.jpg,989,Black
33,Athena Velvet Sheath Dress,http://assets.myntassets.com/assets/images/16368874/2021/12/4/6eb8d55a-94a0-4717-991e-2047304e041e1638612789389AthenaBlackVelvetSheathDress1.jpg,1249,Black
34,SASSAFRAS Square Neck Knitted Sheath Midi Dress,http://assets.myntassets.com/assets/images/24956692/2023/9/14/5b536440-0d46-4adc-9ba2-9d69b80db0471694678117256SASSAFRASBlackSheathMidiDress1.jpg,759,Black
35,Aawari Women White & Red Floral Off-Shoulder Maxi Dress,http://assets.myntassets.com/assets/images/20445786/2022/10/18/ef67fe1e-b0e0-40b9-bba1-6844759e17401666097607037Dresses1.jpg,980,White
36,Antheaa Black & Rust Orange Floral Print Tiered Midi Fit & Flare Dress with Ruffles,http://assets.myntassets.com/assets/images/12595594/2020/10/15/b6e22b58-3450-468f-afeb-3218b6ce7acb1602737925709SareemallNavyBluePolyChiffonSolidEthnicPartywearSareewithMat1.jpg,1155,Black
37,Tokyo Talkies Women Turquoise Blue & White Floral Printed Crepe Dress,http://assets.myntassets.com/assets/images/16099794/2021/11/15/07cd22f4-db3e-4746-b89f-3b8f5386735e1636992080847TokyoTalkiesBlueFloralCrepeA-LineDress1.jpg,389,Turquoise Blue
38,Deewa Pink Floral Georgette A-Line Maxi Dress,http://assets.myntassets.com/assets/images/21554738/2023/1/25/63837cbb-034b-4a1d-bc56-3a1e56bd17f11674637528096-Deewa-Women-Dresses-91674637527440-1.jpg,836,Pink
39,SHEETAL Associates Flared Sleeve Fit & Flare Midi Dress,http://assets.myntassets.com/assets/images/24272332/2023/7/31/17b73442-e974-4233-a324-afeaa286eb111690803843087SHEETALAssociatesBlackFlaredSleeveCrepeA-LineDress1.jpg,639,Black
40,SASSAFRAS Blue Floral Printed Cut-Out Crepe Maxi Dress,http://assets.myntassets.com/assets/images/23058000/2023/5/6/f40bdc96-eeb2-410a-bd74-666b135807c01683371502435SASSAFRASBlueFloralPrintBellSleeveCrepeMaxiMidiDress1.jpg,999,Blue
41,GULAB CHAND TRENDS Pink Floral Print Fit & Flare Dress,http://assets.myntassets.com/assets/images/25703126/2023/10/31/fcd39441-6253-42be-b07f-e05560eed6651698771820259GULABCHANDTRENDSPinkFloralPrintFitFlareDress1.jpg,949,Pink
42,BAESD Floral Printed Georgette Casual Fit & Flare Midi Dress,http://assets.myntassets.com/assets/images/23322950/2023/5/22/e6589c62-264a-48a2-86d5-16e8c543c3261684741715065BAESDPinkFloralPrintGeorgetteFitFlareMidiDress1.jpg,699,Pink
43,Chemistry Women Black Solid Acrylic High Neck Flared Sleeves Jumper Dress,http://assets.myntassets.com/assets/images/18231674/2022/11/2/9f7a7ee8-2aa2-48fc-98c7-9f9b2a33326d1667377351168-Chemistry-Women-Dresses-1391667377350666-1.jpg,1014,Black
44,ADDYVERO Women Red Mini Dress,http://assets.myntassets.com/assets/images/20552936/2022/10/31/212cc0af-1157-4c35-81a5-5bb0e3a377e01667198131711ADDYVEROFoldPleatedColdShoulderBodyconDress1.jpg,611,Red
45,Roadster Women Purple Ribbed Hooded Jumper Dress,http://assets.myntassets.com/assets/images/14330992/2023/10/17/be5faf68-8213-42a6-807b-8801d37bc5811697534017423-Roadster-Women-Purple-Ribbed-Hooded-Jumper-Dress-96916975340-7.jpg,1059,Purple
46,Antheaa Rose Dobby Woven Embellished Maxi Layered Dress,http://assets.myntassets.com/assets/images/19473732/2022/9/13/73b8b5ec-f8d4-4df0-bf01-fc3d6fc55cc71663054814285-Antheaa-Women-Dresses-701663054813641-1.jpg,1343,Rose
47,Athena Women Black Fit & Flare Dress,http://assets.myntassets.com/assets/images/1755949/2017/2/8/11486535846862-Athena-Women-Dresses-7081486535846717-1.jpg,1072,Black
48,SHEETAL Associates Maroon Pleated Wrap Dress,http://assets.myntassets.com/assets/images/19062890/2022/7/12/378e2201-20bb-4640-8f4c-2f49d9ef23361657566688378Dresses1.jpg,639,Maroon
49,Antheaa Red Flared Sleeves Accordion Pleated Chiffon A-Line Dress,http://assets.myntassets.com/assets/images/23136714/2023/5/22/8a7faf7d-9a32-44b7-8b04-24fa38e46a4d1684752891748-Antheaa-Women-Dresses-281684752891314-1.jpg,1399,Red
50,SASSAFRAS Curve Plus Size Black V-Neck Sheath Midi Dress,http://assets.myntassets.com/assets/images/24203732/2023/7/27/2a3249b9-8ea2-4fc1-b88b-18f7912e19b81690399948203Dresses1.jpg,1249,Black
51,Berrylush Women Gorgeous Red Floral Ruched Dress,http://assets.myntassets.com/assets/images/15583258/2021/10/12/1d13b8e6-2c23-4b9c-a45a-508f368f049e1634036755097-Berrylush-Women-Red-Ditsy-Floral-Tie-Shoulder-Ruched-Dress-5-1.jpg,804,Red
52,Antheaa Black & Orange Smocked Chiffon Midi Dress,http://assets.myntassets.com/assets/images/20461390/2022/11/17/bc0769d7-45da-40e3-8e4c-e709f2f3d9e81668683919455-Antheaa-Black--Orange-Smocked-Chiffon-Midi-Dress-24316686839-1.jpg,1268,Black
53,SASSAFRAS Black Semi Sheer Off-Shoulder Maxi Tiered Dress,http://assets.myntassets.com/assets/images/12288048/2020/8/25/41a01beb-5e04-4af6-849b-051eb8595e401598351182046-SASSAFRAS-Women-Dresses-2421598351180777-1.jpg,735,Black
54,StyleStone Blue V-Neck Puff Sleeve Ruffled Denim Peplum Dress,http://assets.myntassets.com/assets/images/24070944/2023/7/18/ad2876e3-d027-47f1-9d6a-a307dd98ddc31689650681874StyleStoneBlueRuffledDenimPeplumMiniDress1.jpg,892,Blue
55,The Roadster Lifestyle Co. Pleated Jumper Dress,http://assets.myntassets.com/assets/images/23978020/2023/10/31/a1b8451d-304c-48ae-9276-afc31c8e53321698741473310-Roadster-Women-Dresses-8521698741472907-1.jpg,1112,Green
56,SASSAFRAS High Neck Sleeveless Midi Sheath Dress,http://assets.myntassets.com/assets/images/24956680/2023/9/14/3c19ca1a-e97c-4c2c-b5c9-596570d3cf821694678106720SASSAFRASBlackSheathMidiDress1.jpg,815,Black
57,DRESSAR Ethnic Motifs Ethnic Maxi Dress,http://assets.myntassets.com/assets/images/21523962/2023/1/12/6a11f5a3-a445-4941-ac43-e3ef60806d9d1673528215454WomenBlueEthnicMotifsPrintedDress1.jpg,659,Blue
58,Antheaa Square Neck Abstract Printed Tiered Embellished Chiffon Fit & Flare Midi Dress,http://assets.myntassets.com/assets/images/22270004/2023/3/9/0c3bc55c-fb26-413b-8e29-04ce59e90a2b1678368861232AntheaaBlueFloralPrintFlaredSleeveChiffonFitFlareMidiDress1.jpg,1343,Blue
59,Indibelle Navy Blue Floral Puff Sleeves Midi Dress,http://assets.myntassets.com/assets/images/18135186/2022/5/16/93e9fac5-1457-428b-9f0b-d0e3440eb5df1652703183690IndibelleRayonBlueFloralPrintFlaredDress1.jpg,689,Navy Blue
60,Berrylush Pink Partywear Western Style Maxi Gown,http://assets.myntassets.com/assets/images/productimage/2020/7/31/0fa3cea4-f834-4969-95f2-95285952e1e91596154317638-1.jpg,819,Fuchsia
61,Antheaa Square Neck Floral Printed Smocked Tiered Chiffon Fit & Flare Midi Dress,http://assets.myntassets.com/assets/images/22270028/2023/3/9/e0dde381-c0b1-4013-ac6c-81e305db96351678369098845AntheaaBlueFloralPrintPuffSleeveChiffonFitFlareMidiDress1.jpg,1202,Blue
62,VAARARO Black Velvet Sheath Midi Dress,http://assets.myntassets.com/assets/images/20034436/2022/9/17/184b4033-e499-43f2-9b6e-92d7dae4b1921663355152918VAARAROBlackVelvetSheathMidiDress1.jpg,873,Black
63,AKS Navy Ethnic Motifs Printed Puff Sleeves Cotton Maxi Dress,http://assets.myntassets.com/assets/images/24376144/2023/9/6/5e9a390e-7e6e-4d38-bbd3-ecc6917d8aff1693995165611AKSNavyEthnicMotifsPrintedPuffSleevesCottonMaxiDress1.jpg,1139,Navy Blue
64,Antheaa Women Gorgeous Red Floral Cinched Waist Dress,http://assets.myntassets.com/assets/images/15797616/2021/11/18/c9db7061-c6fd-480c-861e-922b6d1b594b1637235678102-Antheaa-Women-Dresses-9011637235677605-1.jpg,1108,Red
65,The Roadster Lifestyle Co. Maroon Solid Wrap Acrylic Jumper Dress,http://assets.myntassets.com/assets/images/18240216/2022/11/28/0287e955-9d4c-4fe5-b5e2-bdddf7a3143d1669618144972-Roadster-Women-Dresses-911669618144435-1.jpg,1169,Maroon
66,CLAFOUTIS Shoulder Straps Maxi Dress,http://assets.myntassets.com/assets/images/25048508/2023/9/19/8b5b2ce0-7de5-4799-b81e-f762446993b51695068920765CLAFOUTISBlackCrepeEmpireMaxiDress1.jpg,999,Black
67,Athena Women Deep Burgundy Solid Sweetheart Neck Dress,http://assets.myntassets.com/assets/images/15226794/2023/4/11/f174c1c8-5ba1-4428-8496-14379a7643071681191095110AthenaWomenDeepBurgundySolidSweetheartNeckDress2.jpg,924,Burgundy
68,SASSAFRAS Maroon Ribbed Bodycon Dress,http://assets.myntassets.com/assets/images/16043966/2021/11/24/2a5b80b5-0bbb-4f7e-9bf2-4977066f3cae1637731630150-SASSAFRAS-Women-Dresses-9951637731629751-1.jpg,899,Maroon
69,Antheaa Purple & Black Printed Tiered Maxi Dress,http://assets.myntassets.com/assets/images/20298550/2022/10/20/7b895df2-b66f-4d84-85f5-85e4e99deeaa1666270083325-Antheaa-Women-Dresses-3441666270082713-1.jpg,1362,Purple
70,Selvia Round Neck A-Line Dress,http://assets.myntassets.com/assets/images/21626050/2023/1/20/f3cba9dc-16ae-447f-b454-9fe77a0afdf51674158272218SelviaWhiteA-LineDress1.jpg,899,White
71,ANVI Be Yourself Women Red Solid Fit and Flare Dress,http://assets.myntassets.com/assets/images/13498032/2022/6/16/6ac26554-1aff-4c30-89e2-cf9cd66449ac1655370212753-ANVI-Be-Yourself-Women-Red-Solid-Fit-and-Flare-Dress-6831655-1.jpg,999,Red
72,KALINI Colourblocked Sweetheart Neck Flutter Sleeves Maxi Dress,http://assets.myntassets.com/assets/images/25655440/2023/10/27/81d52c4b-3250-4fe5-8b77-8289c86ec4201698400247214KALINIWomenBlueAnarkaliKurta1.jpg,999,Navy Blue
73,plusS Black Pleated Midi Dress,http://assets.myntassets.com/assets/images/11317852/2020/6/16/8061109c-2cd8-4a72-9422-59d45d06366d1592302009706-plusS-Women-Dresses-4681592302008339-1.jpg,624,Black
74,AASK Self Design Ruffles Tiered Fit & Flare Midi Dress,http://assets.myntassets.com/assets/images/24842830/2023/9/6/e0cfcdec-b0ef-483d-9a37-64e14f0a8bda1694013729035AASKWomenPlainSolidRedColorButtaWorkDressForwomen1.jpg,932,Red
75,The Dry State Women Grey Coloured Sweater Dress,http://assets.myntassets.com/assets/images/15863556/2021/10/30/2787b9f9-26ed-44e0-b078-a71e04c52b231635591651846-THE-DRY-STATE-WOMENS-TURTLE-NECK-SWEATER-DRESS-WITH-BOTTOM-S-1.jpg,1279,Grey
76,Fabflee Floral Georgette A-Line Midi Dress,http://assets.myntassets.com/assets/images/21490552/2023/3/2/d06047f4-4ad3-4f5f-80f2-6b9a36e1d8541677748179264-Fabflee-Floral-Georgette-A-Line-Midi-Dress-411677748178587-1.jpg,719,Yellow
77,Athena Charming Fuchsia Pink Power Shoulders Tulip Hem Wrap Dress,http://assets.myntassets.com/assets/images/13719160/2021/3/5/b04a5dc0-9beb-4490-ae2c-f0f9654ded1c1614925067822-Athena-Fuchsia-Pink-dress-with-Power-shoulderS--Tulip-Bottom-1.jpg,699,Fuchsia
78,AASK Puff Sleeve Crepe Fit & Flare Midi Dress,http://assets.myntassets.com/assets/images/22389442/2023/3/17/22a9238d-04b0-4c2e-be59-252f37f3f8191679027563376AASKTealPuffSleeveCrepeFitFlareMidiDress1.jpg,776,Teal
79,all about you Abstract Print Puff Sleeve A-Line Midi Dress,http://assets.myntassets.com/assets/images/21625326/2023/8/21/1e4791b5-cea2-4fc5-881a-558b68c971771692597368448-all-about-you-Women-Dresses-2861692597367972-1.jpg,1274,Pink
80,SASSAFRAS Black One-Shoulder Belted Drop Shoulder Midi Dress,http://assets.myntassets.com/assets/images/15301396/2021/9/6/a2caee6a-8718-476e-b55e-efda7fc84a471630917895422SareesLibasWomenSareesLibasWomenTrackPantsSASSAFRASWomenTrac1.jpg,645,Black
81,Antheaa Fuchsia Paisley Print Smocked Chiffon Midi Fit & Flare Dress,http://assets.myntassets.com/assets/images/16635084/2022/1/21/9d95220a-5ff3-4609-85a3-f3f9c0d7ae481642747068920-Antheaa-Women-Dresses-2991642747068333-1.jpg,1268,Fuchsia
82,Athena Mustard Yellow & Blue Floral Crepe Empire Midi Dress,http://assets.myntassets.com/assets/images/19585308/2022/8/21/d5d5cf94-b3e0-40e4-a2d8-6e14dc3d36951661063928562AthenaMustardYellowFloralCrepeMidiDress1.jpg,836,Mustard
83,SASSAFRAS Maroon V-Neck Cut Out Bodycon Midi Dress,http://assets.myntassets.com/assets/images/24678156/2023/8/27/ab788ce2-2af8-451a-8ca8-617fcc1dae7e1693128235650SASSAFRASMaroonBodyconMidiDress1.jpg,799,Maroon
84,Antheaa Women Black & Mauve Floral Print Maxi Dress,http://assets.myntassets.com/assets/images/14087928/2021/7/21/9ed56d7c-68d9-43f5-83a8-a07c24e3300f1626867076999-Antheaa-Women-Black--Mauve-Floral-Print-Maxi-Dress-250162686-1.jpg,1299,Black
85,Stylum Cream-Coloured & Black Bohemian Print Flared Sleeve Fit & Flare Dress,http://assets.myntassets.com/assets/images/22555284/2023/4/13/699921fd-8d63-4725-95e8-4d4b60beb71b1681387966739-Womens-Printed-Rayon-Flared-dress-5631681387966391-1.jpg,615,Cream
86,SHOWOFF Cream-Coloured Ethnic Motifs A-Line Dress,http://assets.myntassets.com/assets/images/18410364/2022/7/27/c350068c-41c2-459f-8e13-6b1bfc867d901658944751423SHOWOFFCream-ColouredEthnicMotifsA-LineDress1.jpg,2126,Cream
87,GULAB CHAND TRENDS Yellow Floral Print Fit & Flare Dress,http://assets.myntassets.com/assets/images/25703130/2023/10/31/7fb05270-dcac-46bf-b17c-df98082e9dde1698771823135GULABCHANDTRENDSYellowFloralPrintFitFlareDress1.jpg,949,Yellow
88,Mast & Harbour Floral Maxi Tiered Dress,http://assets.myntassets.com/assets/images/16888062/2023/2/8/2e58e8c8-17de-423a-8227-e971bd4d6fea1675835531192-Mast--Harbour-Women-Dresses-8021675835530684-1.jpg,713,Rust
89,plusS Olive Green Midi Dress With Puff Sleeves,http://assets.myntassets.com/assets/images/11317836/2020/6/16/7a79543e-a706-46ca-b456-2dd62eaa83f41592302001352-plusS-Women-Dresses-9791592301999533-1.jpg,624,Olive
90,SASSAFRAS Black Ribbed Cut-Out Bodycon Dress,http://assets.myntassets.com/assets/images/16044018/2021/11/23/80e00e1a-eef3-4945-b3d9-6c443b64cb451637651523639JacketsSASSAFRASWomenTopsSASSAFRASWomenTopsSASSAFRASWomenDre1.jpg,611,Black
91,Mast & Harbour Women Gorgeous Red Floral Vacay Attire,http://assets.myntassets.com/assets/images/17819798/2022/7/28/fb075141-40ea-40a2-a090-61b5ba6700221658989810091-Mast--Harbour-Women-Dresses-8781658989809453-1.jpg,767,Red
92,U&F Black & White Striped Crepe Maxi Dress,http://assets.myntassets.com/assets/images/15736874/2021/10/22/b04dd144-77cc-4c65-9173-36c1654764a71634882046276-UF-Women-Dresses-4171634882045987-1.jpg,619,Black
93,Antheaa Brown V-Neck Long Cuffed Sleeves Satin Wrap Midi Dress,http://assets.myntassets.com/assets/images/24111972/2023/7/20/b68ace0d-d758-49ac-92a5-d1c33aded6ea1689831589568AntheaaBrownLayeredSatinMidiDress1.jpg,1151,Brown
94,Athena Elegant Fuchsia Pink Balloon Puff Sleeves Bodycon Dress,http://assets.myntassets.com/assets/images/13719154/2021/3/5/3fda7627-9073-4702-a66e-f32f10bc64021614925061807-Athena-Fuchsia-Pink-dress-with-Balloon-puff-sleeves-81614925-1.jpg,699,Fuchsia
95,Mast & Harbour Off-White & Olive Green Floral Print Tiered Shirt  Sustainable ECOVERO Dress,http://assets.myntassets.com/assets/images/11711758/2021/2/10/4aeab2a7-2d5a-4c0f-9bcc-1a5caed10d831612953659854MastHarbourWomenOff-WhiteOliveGreenFloralPrintTieredShirtSus1.jpg,699,Off White
96,Sztori Plus Size Solid Midi Jumper Dress,http://assets.myntassets.com/assets/images/18132260/2022/9/28/433d8ec2-0a1f-4efb-b0fd-646c474223f41664344518117-Sztori-Women-Dresses-6821664344517490-1.jpg,1247,Mustard
97,Athena Mauve Self Design Sheath Dress,http://assets.myntassets.com/assets/images/productimage/2021/2/18/33d7e445-3307-47cc-8255-1c330fef64ca1613644386086-1.jpg,1268,Mauve
98,Harpa Pink & Orange Floral Printed A-Line Dress,http://assets.myntassets.com/assets/images/productimage/2020/9/16/25f5b6a7-ce25-4e66-8a61-3aa2037b6c741600207614629-1.jpg,747,Pink
99,Athena Stylish Black Ruffled Tulle Dress,http://assets.myntassets.com/assets/images/15227152/2021/9/8/2fa26318-9240-4ce8-8b28-2b44598dc1bf1631091884618-Athena-Black-Maxi-Tulle-Dress-with-Organza-Ruffled-shoulder--1.jpg,1049,Black
